,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,new_addition,pypi_id,pypi_url,pypi_monthly_downloads,trending
18,dmgbuild,https://github.com/dmgbuild/dmgbuild,,macOS command line utility to build disk images.,24,True,miscellaneous,dmgbuild/dmgbuild,['written-in-python'],https://github.com/dmgbuild/dmgbuild,2017-07-27 09:41:54,2026-06-23 03:14:33,2026-06-23 03:14:31,563.0,5.0,45.0,8.0,241.0,4.0,43.0,201.0,,,,115862.0,,986.0,986.0,28.0,2.0,MIT,True,dmgbuild,https://pypi.org/project/dmgbuild,115862.0,
19,py2many,https://github.com/py2many/py2many,,Transpiler of Python to many other languages.,23,True,compilers,py2many/py2many,['written-in-python'],https://github.com/py2many/py2many,2021-01-24 03:19:12,2026-06-30 01:26:27,2026-06-30 01:26:19,1317.0,125.0,84.0,13.0,515.0,115.0,186.0,1284.0,2025-01-01 22:47:34,0.6,,475.0,4.0,36.0,36.0,20.0,3.0,MIT,True,py2many,https://pypi.org/project/py2many,475.0,
20,staticx,https://github.com/JonathonReinhart/staticx,,Create static executable from dynamic executable.,23,True,freezers,JonathonReinhart/staticx,"['written-in-c', 'written-in-python']",https://github.com/JonathonReinhart/staticx,2017-05-27 18:37:54,2026-05-06 04:54:40,2026-05-06 03:50:59,693.0,79.0,44.0,3.0,147.0,54.0,116.0,420.0,2026-04-23 05:19:42,0.14.2,260.0,48942.0,22.0,169.0,169.0,6.0,2.0,,,staticx,https://pypi.org/project/staticx,48939.0,
21,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,True,freezers,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2026-06-26 23:03:49,2026-06-26 22:40:34,2725.0,56.0,240.0,26.0,2117.0,41.0,1028.0,1555.0,2026-04-13 05:59:38,8.6.4,,,100.0,,,125.0,2.0,,,,,,
22,PyTauri,https://github.com/pytauri/pytauri,,Tauri binding for Python through Pyo3.,22,True,freezers,pytauri/pytauri,"['written-in-rust', 'written-in-python']",https://github.com/pytauri/pytauri,2024-10-16 15:19:48,2026-06-30 05:49:26,2025-09-10 12:34:29,249.0,,28.0,13.0,219.0,13.0,37.0,1396.0,2025-09-02 17:33:23,0.8.0,713.0,9295.0,80.0,15.0,15.0,5.0,2.0,Apache-2.0,,pytauri,https://pypi.org/project/pytauri,9258.0,
23,Platypus,https://github.com/sveinbjornt/Platypus,,Create native macOS applications from command line scripts.,21,True,miscellaneous,sveinbjornt/Platypus,,https://github.com/sveinbjornt/Platypus,2011-03-28 02:18:11,2026-05-13 22:44:55,2026-04-27 23:47:15,1346.0,2.0,196.0,58.0,23.0,34.0,241.0,3415.0,2025-12-02 14:35:54,5.5.0,27096.0,294.0,4.0,,,15.0,2.0,BSD-3-Clause,True,,,,
24,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,20,True,freezers,takluyver/pynsist,['written-in-python'],https://github.com/takluyver/pynsist,2014-03-30 19:11:21,2025-01-05 12:10:01,2025-01-05 12:09:52,568.0,,124.0,32.0,93.0,29.0,147.0,991.0,,,,8135.0,,258.0,258.0,31.0,3.0,,,pynsist,https://pypi.org/project/pynsist,8135.0,
25,Shed Skin,https://github.com/shedskin/shedskin,,Shed Skin is a restricted-Python-to-C++ compiler. Read the introduction below to learn about the restrictions.,20,True,compilers,shedskin/shedskin,['written-in-python'],https://github.com/shedskin/shedskin,2010-07-02 20:21:59,2026-07-02 13:18:20,2026-06-30 13:12:19,5456.0,33.0,115.0,39.0,317.0,103.0,416.0,985.0,2026-04-08 11:17:31,0.9.12,15462.0,114.0,30.0,,,28.0,3.0,,True,,,,
26,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,19,True,launchers,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2026-06-26 04:45:20,2026-06-26 04:45:20,186.0,2.0,58.0,9.0,150.0,27.0,43.0,1982.0,2025-10-15 06:39:23,0.29.0,118695.0,3123.0,34.0,63.0,63.0,14.0,1.0,,,,,,
27,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,zipapps,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2026-05-22 00:45:54,2026-05-22 00:45:54,220.0,1.0,111.0,26.0,138.0,49.0,83.0,1943.0,2024-11-01 19:48:43,1.0.8,2874.0,34.0,23.0,,,45.0,2.0,BSD-2-Clause,,,,,
28,stickytape,https://github.com/mwilliamson/stickytape,,Convert Python packages into a single script.,18,True,miscellaneous,mwilliamson/stickytape,['written-in-python'],https://github.com/mwilliamson/stickytape,2012-10-31 11:27:37,2023-11-07 00:24:06,2023-05-01 15:04:37,137.0,,28.0,3.0,9.0,3.0,22.0,250.0,,,,14320.0,,65.0,65.0,4.0,2.0,BSD-2-Clause,True,stickytape,https://pypi.org/project/stickytape,14320.0,
29,XAR,https://github.com/facebookincubator/xar,,executable archive format.,16,True,miscellaneous,facebookincubator/xar,['written-in-python'],https://github.com/facebookincubator/xar,2017-06-29 18:15:26,2023-12-28 22:35:49,2023-12-28 22:31:34,105.0,,55.0,8.0,24.0,8.0,25.0,1574.0,2020-12-02 20:33:26,20.12.2,,7741.0,3.0,,,44.0,3.0,,,xar,https://pypi.org/project/xar,7741.0,-1.0
30,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,freezers,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,141.0,16.0,19.0,40.0,52.0,1201.0,2025-03-31 02:30:48,1.1.5,16660.0,314.0,13.0,,,5.0,3.0,MIT,,,,,
31,py2wasm,https://github.com/wasmerio/py2wasm,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",16,True,compilers,wasmerio/py2wasm,['written-in-python'],https://github.com/wasmerio/py2wasm,2024-04-17 10:09:37,2024-06-05 08:20:06,2024-04-10 07:13:30,12230.0,,8.0,4.0,,18.0,,231.0,,,,263.0,,,,170.0,3.0,Apache-2.0,,py2wasm,https://pypi.org/project/py2wasm,263.0,
32,python-appimage,https://github.com/niess/python-appimage,,AppImage distributions of Python.,15,True,freezers,niess/python-appimage,['written-in-python'],https://github.com/niess/python-appimage,2020-03-29 10:04:06,2025-07-06 03:57:17,2025-07-02 10:49:59,209.0,,32.0,4.0,19.0,16.0,60.0,221.0,,,43654.0,4646.0,13.0,,,11.0,3.0,GPL-3.0,True,python-appimage,https://pypi.org/project/python-appimage,3282.0,
33,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,True,launchers,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2026-06-18 21:21:40,2026-04-13 18:04:06,283.0,1.0,5.0,6.0,24.0,9.0,28.0,206.0,2026-03-22 08:09:57,0.4.6-fix1,686.0,42.0,48.0,3.0,3.0,4.0,3.0,,,,,,
34,portable-python,https://github.com/bjia56/portable-python,,Portable Python binaries.,14,True,miscellaneous,bjia56/portable-python,['written-in-python'],https://github.com/bjia56/portable-python,2023-09-26 04:06:45,2026-06-22 17:32:45,2026-03-10 22:44:06,506.0,,6.0,2.0,166.0,,3.0,85.0,2025-11-19 12:17:39,cpython-v3.9.25-build.0,19499.0,847.0,100.0,11.0,11.0,4.0,3.0,Apache-2.0,,,,,
35,zipapps,https://github.com/ClericPy/zipapps,,"Package your python code into an executable zip file (with the requirements). Based on pure python zipapp, for..",14,True,zipapps,ClericPy/zipapps,['written-in-python'],https://github.com/ClericPy/zipapps,2020-10-18 10:50:52,2026-04-25 17:30:06,2026-04-25 17:29:58,224.0,8.0,6.0,2.0,1.0,,31.0,81.0,2026-04-02 14:26:21,2026.4.2,119.0,2837.0,28.0,,,2.0,3.0,MIT,True,zipapps,https://pypi.org/project/zipapps,2836.0,
36,make-deb,https://github.com/nylas/make-deb,,Tool for building debian packages from your python projects.,13,True,miscellaneous,nylas/make-deb,['written-in-python'],https://github.com/nylas/make-deb,2015-07-07 22:06:33,2022-12-26 19:53:44,2016-03-28 23:05:16,21.0,,34.0,15.0,8.0,13.0,7.0,294.0,,,,70.0,,27.0,27.0,4.0,3.0,MIT,True,make-deb,https://pypi.org/project/make-deb,70.0,
37,pyempaq,https://github.com/facundobatista/pyempaq,,A simple but powerful Python packer to run any project with any virtualenv dependencies anywhwere.,13,True,zipapps,facundobatista/pyempaq,['written-in-python'],https://github.com/facundobatista/pyempaq,2021-07-15 22:16:17,2026-06-20 16:46:30,2026-06-20 16:46:23,327.0,8.0,9.0,3.0,110.0,9.0,30.0,53.0,2024-01-01 14:24:54,0.6,75.0,76.0,7.0,6.0,6.0,5.0,3.0,GPL-3.0,True,pyempaq,https://pypi.org/project/pyempaq,75.0,
38,pyfuze,https://github.com/TanixLu/pyfuze,,Package Python projects into executables.,12,True,freezers,TanixLu/pyfuze,"['written-in-python', 'written-in-c']",https://github.com/TanixLu/pyfuze,2025-05-08 05:28:32,2025-09-18 23:07:09,2025-09-18 23:06:49,96.0,,52.0,5.0,,2.0,14.0,894.0,,,,205.0,,2.0,2.0,,3.0,MIT,True,pyfuze,https://pypi.org/project/pyfuze,205.0,
39,cosmofy,https://github.com/metaist/cosmofy,,Cosmopolitan Python Bundler.,11,True,freezers,metaist/cosmofy,['written-in-python'],https://github.com/metaist/cosmofy,2024-09-10 12:20:14,2026-01-13 23:40:18,2026-01-13 23:40:17,193.0,,1.0,1.0,,3.0,117.0,107.0,2025-12-24 18:54:25,0.2.1,170.0,108.0,3.0,2.0,2.0,,3.0,MIT,,cosmofy,https://pypi.org/project/cosmofy,101.0,
40,bbfreeze,https://github.com/schmir/bbfreeze,,UNMAINTAINED.,11,True,freezers,schmir/bbfreeze,['written-in-python'],https://github.com/schmir/bbfreeze,2008-12-15 22:43:28,2016-05-25 02:28:55,2014-06-23 20:15:27,381.0,,22.0,1.0,11.0,9.0,16.0,91.0,,,,340.0,,31.0,31.0,15.0,3.0,,True,bbfreeze,https://pypi.org/project/bbfreeze,340.0,
41,pyportable-installer,https://github.com/likianta/pyportable-installer,,Build and distribute installation-free python programs by all-in-one configuration file.,11,True,freezers,likianta/pyportable-installer,['written-in-python'],https://github.com/likianta/pyportable-installer,2021-02-08 10:25:56,2024-04-24 06:29:22,2024-04-24 06:28:56,221.0,,6.0,2.0,,2.0,11.0,66.0,2021-10-26 06:02:03,4.0.1,156.0,102.0,1.0,4.0,4.0,,3.0,MIT,True,pyportable-installer,https://pypi.org/project/pyportable-installer,100.0,
42,uvbox,https://github.com/AmadeusITGroup/uvbox,,"Fast, simple and cross-platform Python application packaging.",11,True,launchers,AmadeusITGroup/uvbox,['written-in-go'],https://github.com/AmadeusITGroup/uvbox,2025-07-11 14:19:55,2026-04-20 14:14:43,2026-04-20 14:13:11,30.0,12.0,2.0,2.0,27.0,2.0,4.0,53.0,2026-04-20 14:16:55,1.0.9,449.0,49.0,10.0,,,3.0,3.0,MIT,,,,,-1.0
43,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,True,freezers,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,203.0,2024-06-19 19:23:24,0.6.1,845.0,32.0,10.0,,,2.0,3.0,GPL-2.0,,,,,
44,relocatable-python,https://github.com/gregneagle/relocatable-python,,A tool for building standalone relocatable Python.framework bundles.,10,True,miscellaneous,gregneagle/relocatable-python,['written-in-python'],https://github.com/gregneagle/relocatable-python,2018-08-04 02:42:58,2024-10-08 15:43:12,2024-10-08 15:43:11,46.0,,47.0,6.0,19.0,4.0,13.0,163.0,,,,,,,,9.0,3.0,Apache-2.0,True,,,,
45,py-app-standalone,https://github.com/jlevy/py-app-standalone,,"Standalone, relocatable Python app installs with uv.",10,True,freezers,jlevy/py-app-standalone,['written-in-python'],https://github.com/jlevy/py-app-standalone,2025-04-11 03:48:12,2025-04-19 01:24:47,2025-04-19 01:22:01,27.0,,2.0,2.0,1.0,4.0,,53.0,2025-04-19 01:24:47,0.2.1,,313.0,5.0,,,,3.0,MIT,,py-app-standalone,https://pypi.org/project/py-app-standalone,313.0,
46,macOS-Pkg-Builder,https://github.com/ripeda/macOS-Pkg-Builder,,Python module for creating macOS packages easily.,10,True,miscellaneous,ripeda/macOS-Pkg-Builder,['written-in-python'],https://github.com/ripeda/macOS-Pkg-Builder,2023-08-23 17:13:08,2024-10-15 21:38:20,2024-10-15 21:38:17,72.0,,1.0,2.0,,1.0,1.0,21.0,2024-10-15 21:36:28,2.3.0,171.0,4302.0,17.0,,,,3.0,BSD-3-Clause,True,macos-pkg-builder,https://pypi.org/project/macos-pkg-builder,4298.0,
47,exxo,https://github.com/mbachry/exxo,,Build portable Python binaries.,9,True,freezers,mbachry/exxo,['written-in-python'],https://github.com/mbachry/exxo,2015-11-19 00:02:42,2023-01-26 18:13:26,2023-01-26 18:13:26,74.0,,9.0,19.0,2.0,6.0,6.0,460.0,,,,,,,,3.0,3.0,ISC,,,,,
48,pinliner,https://github.com/Akrog/pinliner,,Python Inliner merges in a single file all files from a Python package.,9,True,miscellaneous,Akrog/pinliner,['written-in-python'],https://github.com/Akrog/pinliner,2016-03-26 15:52:01,2023-02-04 08:54:34,2018-08-02 12:06:08,27.0,,20.0,4.0,3.0,8.0,4.0,131.0,,,,148.0,,6.0,6.0,2.0,3.0,Apache-2.0,True,pinliner,https://pypi.org/project/pinliner,148.0,
49,msicreator,https://github.com/jpakkane/msicreator,,Python script to generate MSI installers.,9,True,miscellaneous,jpakkane/msicreator,['written-in-python'],https://github.com/jpakkane/msicreator,2018-06-11 21:52:40,2024-03-12 19:16:48,2024-03-12 19:16:48,38.0,,21.0,4.0,10.0,3.0,3.0,115.0,,,,,,,,5.0,3.0,Apache-2.0,True,,,,
50,pyship,https://github.com/jamesabel/pyship,,pyship - ship Python desktop apps to end users.,9,True,freezers,jamesabel/pyship,['written-in-python'],https://github.com/jamesabel/pyship,2020-04-23 04:45:03,2026-04-06 18:26:38,2026-04-06 18:26:35,410.0,5.0,3.0,2.0,33.0,4.0,2.0,45.0,,,,136.0,,13.0,13.0,2.0,3.0,MIT,True,pyship,https://pypi.org/project/pyship,136.0,
51,pyqtdeploy,https://github.com/Python-PyQt/pyqtdeploy,,A tool for building self-contained PyQt applications for desktop and mobile platforms.,9,True,freezers,Python-PyQt/pyqtdeploy,['written-in-python'],https://github.com/Python-PyQt/pyqtdeploy,2025-07-07 15:17:41,2025-07-07 16:09:40,2025-07-07 15:56:42,1755.0,,2.0,,,1.0,,2.0,,,,459.0,,,,,3.0,BSD-2-Clause,True,pyqtdeploy,https://pypi.org/project/pyqtdeploy,459.0,
52,pymakeself,https://github.com/gammazero/pymakeself,,Make self-extracting archives using Python.,8,True,miscellaneous,gammazero/pymakeself,['written-in-python'],https://github.com/gammazero/pymakeself,2015-05-06 20:56:04,2024-10-15 12:58:23,2024-10-15 12:55:50,47.0,,8.0,1.0,13.0,3.0,2.0,11.0,2024-10-15 12:58:23,0.4.0,,134.0,1.0,7.0,7.0,3.0,3.0,MIT,True,pymakeself,https://pypi.org/project/pymakeself,134.0,
53,python-embedded-launcher,https://github.com/zsquareplusc/python-embedded-launcher,,Runner for isolated Python installations or packaged apps.,6,True,freezers,zsquareplusc/python-embedded-launcher,"['written-in-c', 'written-in-python']",https://github.com/zsquareplusc/python-embedded-launcher,2016-02-20 22:10:45,2023-02-01 16:07:24,2023-02-01 16:07:12,174.0,,6.0,2.0,1.0,5.0,2.0,25.0,,,,,,13.0,13.0,2.0,3.0,,True,,,,
54,py2static,https://github.com/joaompinto/py2static,,Build Linux static binaries from Python scripts.,5,True,freezers,joaompinto/py2static,['written-in-python'],https://github.com/joaompinto/py2static,2023-06-26 19:47:55,2023-06-27 20:47:14,2023-06-27 20:47:01,7.0,,,1.0,,,,3.0,,,,46.0,,,,,3.0,MIT,,py2static,https://pypi.org/project/py2static,46.0,
55,python-build-standalone,,,,0,False,miscellaneous,astral-sh/python-build-standalone,"['written-in-python', 'written-in-rust']",,,,,,,,,,,,,,,,,,,,,,,,,,,
